date,open,low,high,close,volume
2018-10-22,9.99,0.9,9.99,5.4,"218,226.12333607"
2018-10-23,5.38,4.72,5.42,4.94,"126,737.28704353"
2018-10-24,4.95,4.91,5.4,5.12,"103,764.22283757"
2018-10-25,5.14,5.11,5.35,5.21,"50,975.97849875"
2018-10-26,5.24,5.01,5.29,5.02,"90,770.72718583"
2018-10-27,5.02,4.63,5.13,4.8,"122,595.08556549"
2018-10-28,4.79,4.7,4.84,4.8,"28,610.2340603"
2018-10-29,4.77,4.52,4.82,4.8,"49,316.31261352"
2018-10-30,4.8,4.76,5.0,4.95,"108,330.62098463"
2018-10-31,4.97,4.8,5.0,4.88,"34,324.18621023"
2018-11-01,4.93,4.88,5.22,5.1,"69,068.01771199"
2018-11-02,5.09,5.07,7.5,6.0,"407,899.4485474"
2018-11-03,6.0,5.0,6.0,5.89,"88,116.27274331"
2018-11-04,5.89,5.67,5.99,5.91,"43,731.00603483"
2018-11-05,5.91,5.91,6.64,6.11,"191,759.30787179"
2018-11-06,6.16,6.01,6.19,6.13,"79,335.99914718"
2018-11-07,6.1,4.07,6.97,6.56,"298,644.66506663"
2018-11-08,6.56,6.1,7.64,6.23,"825,375.9165783"
2018-11-09,6.23,5.43,6.34,5.48,"320,655.31687852"
2018-11-10,5.45,5.3,5.8,5.4,"205,787.55780979"
2018-11-11,5.34,5.04,5.45,5.07,"221,318.89753813"
2018-11-12,5.07,4.9,5.4,5.12,"272,970.88655797"
2018-11-13,5.2,4.9,5.32,5.0,"246,781.17102805"
2018-11-14,5.0,3.9,5.06,4.16,"482,070.90975098"
2018-11-15,4.08,3.83,4.67,4.6,"257,684.63920936"
2018-11-16,4.6,4.25,4.66,4.37,"125,652.41677318"
2018-11-17,4.38,4.22,4.53,4.49,"65,491.86926424"
2018-11-18,4.44,4.03,4.62,4.08,"88,778.46428395"
2018-11-19,4.06,3.02,4.3,3.36,"248,330.3654509"
2018-11-20,3.17,2.9,3.85,3.12,"275,590.97312083"
2018-11-21,3.1,2.98,3.5,3.47,"130,085.37074594"
2018-11-22,3.47,3.07,3.57,3.17,"176,684.64461587"
2018-11-23,3.17,3.07,3.4,3.21,"101,033.78316096"
2018-11-24,3.18,2.57,3.24,2.71,"199,346.04507305"
2018-11-25,2.71,2.44,3.07,3.02,"127,488.56900968"
