date,open,low,high,close,volume
2018-03-24,"100,000","17,250","200,000","19,449",11.73905696
2018-03-25,"19,400","17,450","19,400","17,799",14.45629873
2018-03-26,"17,750","16,005.1","18,919.7","16,100",26.28773029
2018-03-27,"16,120.01","16,120","16,999","16,290.01",10.37286624
2018-03-28,"16,321","14,800","16,658.94","15,000",10.39263489
2018-03-29,"14,800","10,010","15,049.98","12,421.01",31.43942082
2018-03-30,"13,599.96","12,000","15,049.9","13,210.83",26.7437202
2018-03-31,"13,210.83","12,700","13,799.99","12,711",7.74270576
2018-04-01,"12,700","11,000","13,099.99","11,341.05",25.22082571
2018-04-02,"11,975","11,341.11","12,744.97","12,744.97",26.83333188
2018-04-03,"12,744.97","12,344.03","13,249.97","12,502.85",43.63073532
2018-04-04,"12,503.11","11,511.02","12,890","12,000.01",25.94490178
2018-04-05,"11,950.01","11,520","12,299.92","11,661.15",9.58262946
2018-04-06,"11,661.46","11,100","12,098.95","11,809.98",44.43236803
2018-04-07,"11,808.99","11,305.08","11,999.97","11,989.96",11.87219012
2018-04-08,"11,989.96","11,502.04","12,389.99","12,156",21.50594809
2018-04-09,"12,150.04","11,636","12,390","11,999.99",40.08338661
2018-04-10,"11,999.99","11,730.57","12,390","12,079.99",34.50973572
2018-04-11,"12,299.9","12,011.23","12,419.98","12,205.05",36.51919714
2018-04-12,"12,419.97","12,130.05","20,000","13,396.99",165.09836277
2018-04-13,"13,389.99","13,207.25","14,420","13,557.01",69.20775234
2018-04-14,"13,557.01","13,101.01","13,989.98","13,401.64",28.29791857
2018-04-15,"13,789.99","13,404.62","14,399.49","13,800",49.60332711
2018-04-16,"13,950.98","13,550","13,999.83","13,949.81",41.36277619
2018-04-17,"13,949","13,673.17","14,200","13,979.99",51.86255107
2018-04-18,"13,900","13,801.85","16,498.99","16,296.96",129.52094544
2018-04-19,"16,006.04","15,901.22","20,000","18,030",327.92374689
2018-04-20,"18,030","18,030","23,999","21,445",332.29658207
2018-04-21,"21,445","19,000.01","21,995","20,501",125.79811246
2018-04-22,"20,899.98","20,502.02","23,900","23,797",267.01336065
2018-04-23,"23,797","23,797","30,497","30,299.96",521.16253177
2018-04-24,"30,299","23,719","30,299","24,003.01",601.35166581
2018-04-25,"24,499","22,810.12","27,488.99","26,100.02",442.40528369
2018-04-26,"26,199.94","24,900","27,000","26,449.9",144.30433195
2018-04-27,"26,000.23","24,951","26,900","25,766.51",104.14751889
2018-04-28,"25,766.66","25,500","27,488","26,991.39",90.2882159
2018-04-29,"26,991.39","25,800","27,500","26,425.1",63.12674025
2018-04-30,"26,499.41","23,333.01","26,629.99","24,240",110.99299948
2018-05-01,"23,900.02","23,610","25,789.9","25,203",47.72834556
2018-05-02,"25,203","25,203","28,609.9","28,200",218.41154902
2018-05-03,"28,213.33","27,100.6","28,500","27,100.6",193.39449362
2018-05-04,"27,598.79","27,004","28,930","28,500",134.18993214
2018-05-05,"28,928.99","28,700.01","33,000","32,100.23",305.2942821
2018-05-06,"32,100.23","29,510","32,486.99","31,100",209.27247479
2018-05-07,"30,999","29,300","31,500","31,497.79",179.14069642
2018-05-08,"30,906","28,400","31,497.22","29,680",182.52480172
2018-05-09,"29,000.01","28,900","32,199.99","31,744.77",275.18703272
2018-05-10,"31,547","29,109.02","31,789.5","29,999.99",180.66758226
2018-05-11,"29,999.99","25,950","30,499.99","27,014.05",151.98320837
2018-05-12,"27,014.23","25,111","29,999.99","28,100",171.34719956
2018-05-13,"28,100","26,651.01","29,030.57","26,810.14",78.2767423
2018-05-14,"27,239.12","26,600","29,001","27,630.01",165.68015988
2018-05-15,"28,072.09","25,251.01","28,500","25,999.94",159.6669435
2018-05-16,"25,999.94","25,100","26,969.9","25,955.01",192.17257342
2018-05-17,"25,955.01","23,170","26,399.99","23,971",155.65112853
2018-05-18,"23,971","22,800","24,677.59","24,164.99",131.89293692
2018-05-19,"24,164.99","23,390","25,270","25,098.89",52.4070293
2018-05-20,"24,623","24,270","25,900","25,000.03",54.11044139
2018-05-21,"24,950.23","23,800.03","25,668.98","23,855",129.72485141
2018-05-22,"24,349.96","22,250.01","24,349.96","22,799.93",151.47135049
2018-05-23,"22,799.97","19,500","22,799.97","21,098",157.32106385
2018-05-24,"21,097","19,500","21,488.98","20,384.01",197.13685458
2018-05-25,"20,370","18,617.07","20,759.99","19,447.99",194.8542756
2018-05-26,"19,448","19,000","20,199.99","19,240",41.87486262
2018-05-27,"19,220","19,120.01","19,665.84","19,131",16.94992498
2018-05-28,"19,120","16,508.41","19,120","16,938",319.71035308
2018-05-29,"16,940","16,938","19,998","19,899.99",292.44184202
2018-05-30,"19,900","17,951.44","19,999","19,000.01",224.45619725
2018-05-31,"19,599","18,800.01","19,999.99","19,656.28",276.22122237
2018-06-01,"19,662.67","19,100","19,795","19,750",39.7511442
2018-06-02,"19,710","19,479.62","21,997.99","21,550",150.61437751
2018-06-03,"21,550.1","21,550.1","24,000","23,700",157.07629772
2018-06-04,"23,700","21,300","23,861.97","21,300",302.2835685
2018-06-05,"21,100.03","21,100.03","23,300","22,750",128.54196117
2018-06-06,"22,750","22,100","23,500","22,850",120.7311482
2018-06-07,"22,851","22,600","23,279.51","22,600",82.40558086
2018-06-08,"22,750","21,901.01","22,995.98","22,425.1",48.77696031
2018-06-09,"22,600","20,760.01","22,600","21,005",51.3201164
2018-06-10,"21,267.91","19,160.01","21,268.54","19,810.01",123.3386237
2018-06-11,"20,399.79","18,806","20,399.88","19,887",112.06023624
2018-06-12,"19,887","18,001","19,899.42","18,321.11",108.69006669
2018-06-13,"18,597.99","17,000","18,698","18,177.33",178.44293122
2018-06-14,"18,177.33","17,600","19,050","18,300",147.78135072
2018-06-15,"18,690.68","17,450","18,690.68","17,707.39",95.76106736
2018-06-16,"17,820","17,450","18,097.99","17,839.99",33.08400511
2018-06-17,"17,701.18","17,500","17,910.3","17,500",19.02591713
2018-06-18,"17,500.03","17,370","18,545","18,275",113.10836853
2018-06-19,"17,950.23","17,900","19,099.99","17,901.11",87.79346237
2018-06-20,"18,300","17,850","18,499.98","18,034.38",46.81912011
2018-06-21,"18,035.07","17,160","18,268","17,200",91.01662625
2018-06-22,"17,597.99","14,510","17,597.99","15,399.51",238.37178156
2018-06-23,"15,206.72","13,773.25","15,667","13,776.01",59.2937042
2018-06-24,"13,777.3","13,500","15,479.99","14,700.61",212.0554178
2018-06-25,"14,677.12","14,661","15,789.99","15,025.03",82.55093114
2018-06-26,"15,025.02","13,658.01","15,465.07","13,800",88.49772342
2018-06-27,"14,114.99","13,750.01","14,694.95","14,336.33",143.48747277
2018-06-28,"14,348.44","12,700","14,480","13,007",140.05492945
2018-06-29,"13,007","12,700","15,400","14,810.01",248.09608391
2018-06-30,"14,999.99","14,250","15,140","14,496.61",92.16684674
2018-07-01,"14,749.89","14,014.01","14,749.89","14,412.45",22.56376624
2018-07-02,"14,412.45","14,250","16,200","16,000",237.63010638
2018-07-03,"15,999.97","14,451","16,200","14,796.73",159.08280443
2018-07-04,"14,813.46","14,580","15,600","15,013.96",91.6013875
2018-07-05,"15,015.73","13,900.13","15,017","14,060",76.782911
2018-07-06,"14,193.96","13,702","14,233.93","14,001",59.43252848
2018-07-07,"14,030","13,714.05","14,900","14,634.99",37.0205841
2018-07-08,"14,255","14,121","14,750","14,270",14.47175008
2018-07-09,"14,499.9","14,125","14,500","14,399.9",17.24487464
2018-07-10,"14,399.97","13,016.59","14,526.1","13,531.97",72.23056313
2018-07-11,"13,530","13,201","13,698.62","13,423.54",48.76450851
2018-07-12,"13,497.9","12,907","13,500","13,200.83",70.9283261
2018-07-13,"13,201.75","13,017.78","13,449.9","13,389.99",55.87631098
2018-07-14,"13,389.99","13,200.03","13,689.99","13,605",17.69329423
2018-07-15,"13,605","13,335.7","13,900","13,836.68",27.7158467
2018-07-16,"13,836.5","13,623.51","15,349.99","14,976",183.81295046
2018-07-17,"15,001","14,805","16,400","16,300.1",267.50152619
2018-07-18,"16,300","15,001.02","16,413.7","15,287.37",204.42711144
2018-07-19,"15,100.11","15,050.04","16,199.99","15,479.9",113.2292629
2018-07-20,"15,478.9","14,050.05","15,479","14,183.03",148.20642451
2018-07-21,"14,450","14,401.06","15,231.99","15,030.89",53.70571033
2018-07-22,"15,030.76","14,726.11","15,749.99","15,588.97",55.87461038
2018-07-23,"15,492.65","14,805.14","15,588.73","15,193.11",113.2282891
2018-07-24,"15,000.11","14,811.05","16,599","15,968.87",269.97430054
2018-07-25,"15,973.35","15,303.01","16,479.99","15,522.18",84.84163736
2018-07-26,"15,650","14,651","15,899","14,760.06",100.9352073
2018-07-27,"14,850","14,501.01","15,599.99","15,050.1",43.3615323
2018-07-28,"15,399.3","14,585.67","15,499.98","15,201.03",23.8857194
2018-07-29,"15,288.97","15,200","15,587.99","15,200.1",16.74667907
2018-07-30,"15,200.1","14,410","15,372.17","14,879.79",109.28404249
2018-07-31,"14,672.1","13,800","14,987.91","14,048",90.1275906
2018-08-01,"14,106.69","13,841.01","14,599.99","14,450",45.43493335
2018-08-02,"14,250","13,200.11","14,467.78","13,500.05",40.78513017
2018-08-03,"13,699.96","13,211.34","13,899.99","13,657.02",37.65567874
2018-08-04,"13,610","13,012","13,847.7","13,101.82",58.75016139
2018-08-05,"13,104.26","13,026.88","13,806.72","13,693.94",25.81804378
2018-08-06,"13,270.07","12,900","13,690","13,065.01",69.12984469
2018-08-07,"13,398.96","11,601.82","13,549.93","11,988.95",113.79623925
2018-08-08,"11,988.95","10,650.01","11,988.96","11,192.31",158.49841624
2018-08-09,"11,192.31","11,055.03","11,889.99","11,737.58",103.69517324
2018-08-10,"11,310.07","10,600","11,743.27","10,999.99",87.6331999
2018-08-11,"10,600.33","10,400","10,950","10,800.06",93.20161959
2018-08-12,"10,943.24","10,660","10,999.99","10,999.94",37.19498842
2018-08-13,"10,999.93","9,201.07","11,399.99","9,495.02",98.89991517
2018-08-14,"9,699.41","9,100.01","10,149.79","9,858.99",150.31496014
2018-08-15,"9,858.89","9,501.01","10,499.99","9,982.93",167.99538183
2018-08-16,"9,982.72","9,629.9","10,239","10,199.9",95.54612754
2018-08-17,"9,952.25","9,947.03","11,470","11,060",129.56887436
2018-08-18,"11,100","10,250.03","11,200","10,330",40.51292968
2018-08-19,"10,554.97","10,420.01","11,000","10,555.51",20.77816799
2018-08-20,"10,556.62","10,000.01","10,799.66","10,003.9",65.27615513
2018-08-21,"10,149.98","9,720.42","10,800","10,320.44",57.84347953
2018-08-22,"10,499.9","9,750","10,499.97","10,100",82.99948613
2018-08-23,"9,860.21","9,810","10,139","10,011.02",20.67906368
2018-08-24,"10,138.99","9,769.03","10,345.99","9,970",103.23168559
2018-08-25,"10,069.97","9,800","10,189.94","9,949.95",47.74875966
2018-08-26,"9,835.15","9,801","9,990","9,983",9.09590319
2018-08-27,"9,982.95","9,800.01","10,140","10,010.33",35.68640621
2018-08-28,"10,124.63","9,940","10,700","10,400",83.27695039
2018-08-29,"10,554.95","10,200.01","10,700","10,498.93",69.8820454
2018-08-30,"10,310.08","9,926.34","10,499.99","10,285",75.81116228
2018-08-31,"10,285","10,138","10,600","10,565",53.078612
2018-09-01,"10,460.07","10,460.07","12,320","12,200",263.55402592
2018-09-02,"12,207.93","11,801.09","12,399.99","11,960",136.7059411
2018-09-03,"11,960","11,750.01","12,179.99","11,791.89",55.33886633
2018-09-04,"11,794.11","11,794.11","12,670.95","12,202.99",146.14065299
