date,open,low,high,close,volume
2016-04-05,194.51,183.04,199.9,197.5,412.6433237
2016-04-06,197.5,190,199.9,199.9,85.6801627
2016-04-07,191,181,198.85,192,310.41772762
2016-04-08,180,173.25,198,184.78,728.10894207
2016-04-09,186.58,165,186.58,172,140.58769669
2016-04-10,161,150,172.25,165.02,264.45070329
2016-04-11,150.05,145,164,159.65,581.26832029
2016-04-12,150.83,130.01,154.99,130.01,487.91061893
2016-04-13,130.01,130,154.56,153,717.03930014
2016-04-14,153.5,145,157.18,145,101.46551657
2016-04-15,151.49,143.07,151.49,151.48,107.94810845
2016-04-16,151.4,151,159,159,161.22668344
2016-04-17,158.83,156.25,164,156.28,119.72755708
2016-04-18,156.28,153,164,160.56,49.14055415
2016-04-19,162.41,153.06,162.41,155.92,79.83402984
2016-04-20,153.06,146,154.75,151.85,143.74243159
2016-04-21,153.13,145,154.75,147.89,110.20977682
2016-04-22,147.89,136,156.12,145,223.54849421
2016-04-23,145.01,137,154.54,153.24,44.87319791
2016-04-24,145.33,145.33,154.54,154,2.93654787
2016-04-25,154,132.2,154,142.8,313.73183032
2016-04-26,142.8,130.7,153.99,145,157.46276293
2016-04-27,140,140,159.56,157.28,385.1028406
2016-04-28,140,129,158.99,130,315.94724063
2016-04-29,135,128.06,145,128.8,228.62816183
2016-04-30,130,130,159.98,146.79,391.81283885
2016-05-01,156,145,160,159.98,161.33680174
2016-05-02,164,161.38,180,167,602.75543252
2016-05-03,165.21,160.99,173.11,170,162.50167798
2016-05-04,170,167,178.9,172,150.47230637
2016-05-05,172,160,180,173.35,399.75420382
2016-05-06,178,170,178,177,83.05692205
2016-05-07,170.03,161,171,171,40.78771134
2016-05-08,161.51,160,174.24,174.24,118.0052457
2016-05-09,174.24,167.01,174.84,174.8,83.70977785
2016-05-10,174.8,167.15,179.99,179.99,223.42339404
2016-05-11,179.99,175,184.28,184.05,254.18120669
2016-05-12,184,181.21,194.95,181.5,384.5686275
2016-05-13,185.1,176.69,201.15,196.71,"1,098.66081306"
2016-05-14,195,186.08,196.71,196.7,190.77843111
2016-05-15,196.49,180.01,196.5,194.68,361.38078453
2016-05-16,194.34,180.22,212.54,212.54,882.28832679
2016-05-17,212.53,205,238.59,238.59,453.51480896
2016-05-18,228.08,228,267.94,267.67,"1,018.3622842"
2016-05-19,267.94,238.45,278.59,278.58,494.70740545
2016-05-20,266.6,241.03,279.17,277.49,820.6076833
2016-05-21,277.49,253.2,277.49,260,48.87476137
2016-05-22,260.01,253.44,277.1,266.53,126.46557335
2016-05-23,266.53,247.57,273.98,250.01,291.41068828
2016-05-24,249,220,266,230,376.84204224
2016-05-25,224,214.33,240,234.9,186.78343269
2016-05-26,233.9,201,235,216.5,457.5313321
2016-05-27,204,190,215.99,206.5,364.44494354
2016-05-28,206.5,200,233,222.9,381.80572532
2016-05-29,222.9,213.06,229.9,223.5,135.31671938
2016-05-30,230,219.96,239.15,228.66,365.62029451
2016-05-31,237,237,264,256.08,200.58556253
2016-06-01,254,249.06,262.98,258.09,220.30455522
2016-06-02,258.09,248.95,261,251.82,308.49766162
2016-06-03,254.35,245.19,259.98,258.4,236.44090328
2016-06-04,258.38,244.02,258.38,257.9,2.00704003
