date,open,low,high,close,volume
2017-12-24,"10,000","5,100","10,000","6,000","3,779.50944061"
2017-12-25,"6,000","5,806.99","6,173","5,951.01","2,008.61903808"
2017-12-26,"5,951.01","5,807","6,400","6,039.01","4,197.67876246"
2017-12-27,"6,057","5,500","6,092","5,506.1","3,579.67863807"
2017-12-28,"5,505","5,190.52","5,682","5,323.7","2,435.60892399"
2017-12-29,"5,350","5,001","5,603.21","5,147","4,272.3651515"
2017-12-30,"5,147","4,561","5,299.89","5,087.67","2,155.33429987"
2017-12-31,"4,955.05","4,800","5,350","5,149.98","1,407.99747321"
2018-01-01,"5,149.98","5,063.4","5,679","5,497.75","1,526.45499692"
2018-01-02,"5,480","5,355.17","6,140","5,450","3,809.79360469"
2018-01-03,"5,450.15","5,000","5,519.72","5,068.97","4,033.06290246"
2018-01-04,"5,044.5","4,800","5,499","5,260.1","4,120.6186159"
2018-01-05,"5,283.85","5,000","6,050","5,900","5,208.39378292"
2018-01-06,"5,898.5","5,600.01","6,200","5,988.3","3,002.88797901"
2018-01-07,"6,048.99","5,713.1","6,179.99","5,810.06","1,904.08644207"
2018-01-08,"5,895.63","5,250","5,919.82","5,330.06","3,217.04267578"
2018-01-09,"5,397.85","5,250","5,799.99","5,275.99","2,596.14522302"
2018-01-10,"5,340","4,500","5,497","4,999.12","3,284.51464263"
2018-01-11,"4,998.91","4,400","5,271.71","5,020.93","2,026.85770283"
2018-01-12,"5,020.99","4,780.01","5,188.98","5,084.97","1,661.82285395"
2018-01-13,"5,065.01","4,900","5,550","5,181.99","2,069.78417215"
2018-01-14,"5,181","5,000","5,399.96","5,152.21","1,007.47148481"
2018-01-15,"5,152.23","4,650","5,233.99","4,685","2,367.82964764"
2018-01-16,"4,685","3,100","4,892.83","3,758.99","5,786.45065988"
2018-01-17,"3,749.99","2,600","4,500","3,679.76","4,401.19071149"
2018-01-18,"3,699.85","3,500","4,500","3,966.95","2,525.80151131"
2018-01-19,"3,966.95","3,618","4,098.86","3,940","2,297.82727297"
2018-01-20,"3,940","3,790.42","4,105","3,901",832.71982879
2018-01-21,"3,901","3,606","3,980.97","3,734",803.67237507
2018-01-22,"3,685.48","3,150","3,732","3,325","2,395.61083179"
2018-01-23,"3,389.54","3,125.01","3,650","3,310.64","1,209.77000774"
2018-01-24,"3,382.08","3,300.01","3,528.99","3,375.02","1,019.11357758"
2018-01-25,"3,431.55","3,301","3,439.99","3,373.33",993.26839802
2018-01-26,"3,380","3,200.01","3,394.9","3,321.75",926.31359789
2018-01-27,"3,354.87","3,250","3,440","3,439",456.94758754
2018-01-28,"3,420.2","3,401.06","3,650.15","3,474.5","1,213.41763355"
2018-01-29,"3,499.9","3,310.01","3,530.84","3,370",756.10739004
2018-01-30,"3,370","2,976.72","3,398","3,042.64","1,780.88498442"
2018-01-31,"3,042.66","2,902","3,196","3,080.85","1,504.14063873"
2018-02-01,"3,080.85","2,300.01","3,098.01","2,300.01","2,586.46431847"
2018-02-02,"2,343.94","1,855","2,549.99","2,329.83","2,892.37095288"
2018-02-03,"2,328.7","2,309.66","3,250","3,219.15","2,511.11175954"
2018-02-04,"3,219.15","2,602","3,300","2,910","1,936.31239252"
2018-02-05,"2,889.23","2,011","2,939.96","2,077","2,699.93158116"
2018-02-06,"2,025.23","2,000","2,888.99","2,621","3,250.87706005"
2018-02-07,"2,644","2,500.01","3,610","2,846.99","3,945.44547577"
2018-02-08,"2,810","2,701.99","2,918","2,800","1,166.16958345"
2018-02-09,"2,800","2,765.1","3,249","3,170","2,502.88239931"
2018-02-10,"3,169","2,710","3,239.08","2,890.99","2,493.55445169"
2018-02-11,"2,848.99","2,701","2,995.99","2,870.21",996.58119409
2018-02-12,"2,911.98","2,878.01","3,087","2,988.01","1,080.6192241"
2018-02-13,"3,039.97","2,960","3,550","3,417","2,573.93590697"
2018-02-14,"3,418","3,400.01","4,490","4,301","6,301.96346786"
2018-02-15,"4,300","3,845.01","4,449.99","4,130.02","4,759.18235327"
2018-02-16,"4,080.03","4,000.01","4,398","4,289","2,535.1476375"
2018-02-17,"4,325","4,123.11","4,372","4,123.11","2,390.0323167"
2018-02-18,"4,122","4,066","4,328.6","4,106.01","1,250.7676813"
2018-02-19,"4,106","4,105.02","4,600","4,540","3,167.20740654"
2018-02-20,"4,542","3,901","4,780","4,067","6,583.90503098"
2018-02-21,"4,070","3,678.01","4,185","4,147","2,978.61250332"
2018-02-22,"4,145","3,317.93","4,149","3,625","3,283.03373827"
2018-02-23,"3,551","3,450","4,097","4,000","3,787.85569342"
2018-02-24,"3,980","3,610.03","4,020","3,801.01",961.23966308
2018-02-25,"3,790","3,750.06","4,352","4,133.01","2,394.11194523"
2018-02-26,"4,150","3,940","4,295","4,008.56","1,777.83079627"
2018-02-27,"4,008.68","3,969.5","4,189.79","4,127.49","2,393.88931448"
2018-02-28,"4,126.64","3,780.22","4,140","3,880","1,522.14654708"
2018-03-01,"3,880","3,831","4,065","3,968","1,031.96427103"
2018-03-02,"3,968","3,860.1","4,100","4,022.75","1,272.29465557"
2018-03-03,"4,023.5","3,900","4,085","3,915.16","1,342.89944365"
2018-03-04,"3,915.17","3,881","4,050.78","3,970",876.28089079
2018-03-05,"3,969.99","3,900.01","4,050","3,940.31","1,536.62690921"
2018-03-06,"3,968.99","3,693.08","3,968.99","3,750.09","1,842.20883662"
2018-03-07,"3,778.99","3,420","3,790","3,515.33","3,256.22249856"
2018-03-08,"3,515.35","2,910","3,583.76","3,000","2,551.2805662"
2018-03-09,"2,953","2,905.73","4,500","3,648.34","7,148.02903613"
2018-03-10,"3,650","3,180.02","3,813.33","3,380.04","2,316.41166218"
2018-03-11,"3,419.85","3,380.01","3,900","3,588","2,730.36717711"
2018-03-12,"3,609.9","3,350","3,700","3,417","2,467.82649743"
2018-03-13,"3,444","3,250","3,452","3,311.13",826.83939522
2018-03-14,"3,310.99","2,810.01","3,326.92","2,887.85","2,361.02742623"
2018-03-15,"2,860","2,751.01","3,150","3,110","2,184.38317871"
2018-03-16,"3,099","3,000","3,289.9","3,047","1,310.53400843"
2018-03-17,"3,059","2,709","3,178.85","2,769.56","1,526.40325679"
2018-03-19,"2,930","2,880","3,100","2,952","1,207.56988024"
2018-03-18,"2,764.99","2,550.09","3,030","2,875.01","1,207.56988024"
2018-03-20,"2,989.99","2,941.09","3,298.99","3,256","1,473.19604424"
2018-03-21,"3,258","3,117","3,294.96","3,169.96","1,938.72878708"
2018-03-22,"3,169.96","2,941.01","3,169.96","2,966.15","1,492.83391617"
2018-03-23,"3,019.97","2,884","3,135.81","3,015",921.55993111
2018-03-24,"3,040.23","2,955.01","3,100","3,010.08",487.8127949
2018-03-25,"3,011.49","2,910.05","3,057","3,009.83",530.28906588
2018-03-26,"3,019.07","2,570","3,019.07","2,613.11","2,391.62194583"
2018-03-27,"2,613.12","2,500","2,800","2,524","1,259.50981345"
2018-03-28,"2,524","2,300","2,689","2,320.96","1,940.20836057"
2018-03-29,"2,334.67","2,000","2,400","2,250.4","3,142.71457271"
2018-03-30,"2,347.99","2,032.18","2,349.99","2,200","1,315.26648857"
2018-03-31,"2,200","2,090.01","2,259.79","2,100",981.57971501
2018-04-01,"2,139.83","2,020","2,199","2,171.85",802.0460919
2018-04-02,"2,159.85","2,125","2,248.99","2,225","1,213.43016999"
