date,open,low,high,close,volume
2018-10-22,7.0,1.35,7.0,1.44,"999,434.25394182"
2018-10-23,1.44,1.39,1.6,1.44,"709,561.93249594"
2018-10-24,1.44,1.38,1.46,1.43,"428,946.30321053"
2018-10-25,1.43,1.39,1.43,1.42,"226,559.32425638"
2018-10-26,1.42,1.38,1.44,1.43,"308,919.33698464"
2018-10-27,1.43,1.41,1.54,1.52,"328,958.52181759"
2018-10-28,1.52,1.45,1.52,1.51,"85,529.10717336"
2018-10-29,1.5,1.4,1.52,1.46,"153,935.94801922"
2018-10-30,1.46,1.45,1.49,1.48,"124,939.72515531"
2018-10-31,1.48,1.46,1.56,1.55,"236,875.84793663"
2018-11-01,1.55,1.51,1.6,1.6,"415,329.64642533"
2018-11-02,1.6,1.56,1.63,1.58,"379,127.84651738"
2018-11-03,1.6,1.54,1.61,1.59,"181,699.49566346"
2018-11-04,1.56,1.5,1.6,1.56,"331,338.81363104"
2018-11-05,1.56,1.49,1.59,1.54,"447,810.15520288"
2018-11-06,1.53,1.5,1.56,1.54,"276,018.85184784"
2018-11-07,1.54,1.51,1.63,1.62,"424,997.8548876"
2018-11-08,1.62,1.61,3.0,1.85,"2,715,532.3364964"
2018-11-09,1.84,1.7,1.91,1.75,"894,363.36224601"
2018-11-10,1.75,1.74,2.15,1.94,"1,211,583.1185897"
2018-11-11,1.88,1.83,1.99,1.93,"698,085.12987368"
2018-11-12,1.93,1.92,2.12,2.07,"1,684,945.0806214"
2018-11-13,2.07,2.0,2.67,2.15,"2,488,992.9237589"
2018-11-14,2.14,1.64,2.15,1.77,"1,917,499.1876483"
2018-11-15,1.77,1.73,1.94,1.85,"954,465.01938659"
2018-11-16,1.84,1.7,1.89,1.7,"1,025,774.9334345"
2018-11-17,1.75,1.61,1.79,1.74,"523,340.1786617"
2018-11-18,1.73,1.71,1.83,1.73,"485,417.23460433"
2018-11-19,1.73,0.2,1.79,1.28,"1,865,558.2696202"
2018-11-20,1.28,1.1,1.39,1.17,"1,147,134.5418628"
2018-11-21,1.2,1.16,1.34,1.34,"776,739.10802886"
2018-11-22,1.32,1.06,1.34,1.15,"1,080,853.6744622"
2018-11-23,1.13,1.09,1.24,1.17,"409,233.05746557"
2018-11-24,1.16,0.97,1.19,1.0,"652,561.45312512"
2018-11-25,1.0,0.92,1.14,1.1,"855,829.54400993"
2018-11-26,1.09,1.0,1.12,1.03,"643,411.31041368"
2018-11-27,1.06,1.01,1.17,1.15,"625,153.19026728"
2018-11-28,1.14,1.13,1.28,1.2,"1,383,805.3550073"
2018-11-29,1.19,1.19,1.32,1.32,"591,675.45398956"
2018-11-30,1.33,1.16,1.34,1.25,"1,272,440.2028628"
2018-12-01,1.23,1.2,1.31,1.26,"762,788.47606403"
2018-12-02,1.26,1.22,1.33,1.29,"925,477.76552756"
2018-12-03,1.3,1.3,1.45,1.35,"2,107,106.9522985"
2018-12-04,1.35,1.25,1.4,1.33,"776,864.9224578"
2018-12-05,1.33,1.15,1.33,1.18,"929,657.08666872"
2018-12-06,1.18,1.02,1.21,1.08,"1,737,691.2412521"
2018-12-07,1.08,0.98,1.22,1.18,"1,598,280.7515773"
2018-12-08,1.15,1.11,1.19,1.18,"411,730.00652829"
2018-12-09,1.15,1.15,1.3,1.28,"947,974.69995611"
2018-12-10,1.27,1.11,1.27,1.14,"943,334.59406526"
2018-12-11,1.15,1.04,1.15,1.07,"741,649.70021072"
2018-12-12,1.06,1.03,1.11,1.06,"710,793.78292671"
2018-12-13,1.07,0.96,1.09,0.99,"1,311,953.2689491"
2018-12-14,0.99,0.86,0.99,0.91,"1,415,696.9680177"
2018-12-15,0.9,0.82,0.91,0.91,"807,978.99874019"
2018-12-16,0.91,0.88,0.96,0.94,"713,980.98184722"
2018-12-17,0.94,0.91,1.04,0.97,"1,381,258.4366155"
2018-12-18,0.96,0.9,1.03,1.03,"1,056,485.634227"
2018-12-19,1.03,0.94,1.05,0.96,"1,000,340.9268754"
