date,open,low,high,close,volume
2018-06-15,23.0,20.55,36.96,21.03,"135,842.86302725"
2018-06-16,21.01,20.63,21.06,20.84,"37,446.55643112"
2018-06-17,20.72,20.65,20.99,20.91,"22,983.37982869"
2018-06-18,20.91,20.64,21.04,20.7,"35,533.94193428"
2018-06-19,20.7,20.66,20.74,20.68,"22,469.66439601"
2018-06-20,20.72,20.42,20.72,20.42,"20,106.69514243"
2018-06-21,20.55,20.21,25.0,20.55,"60,241.34197805"
2018-06-22,20.64,20.11,20.72,20.3,"36,213.77846411"
2018-06-23,20.37,20.02,20.37,20.35,"19,561.2943855"
2018-06-24,20.35,20.01,20.44,20.39,"20,907.729837"
2018-06-25,20.39,20.15,20.47,20.16,"25,601.63926761"
2018-06-26,20.42,19.8,20.42,20.2,"28,980.72067834"
2018-06-27,20.24,19.92,20.36,20.15,"11,719.16812875"
2018-06-28,20.2,19.82,20.36,20.0,"44,216.78408017"
2018-06-29,20.18,19.86,20.42,20.19,"47,877.70031465"
2018-06-30,20.19,19.8,20.39,19.9,"51,397.42073723"
2018-07-01,20.2,19.89,21.0,20.38,"45,629.7672559"
2018-07-02,20.29,19.8,20.39,19.81,"56,288.44506132"
2018-07-03,19.82,19.16,20.1,19.17,"41,590.18452049"
2018-07-04,19.22,19.16,19.54,19.44,"22,547.86873829"
2018-07-05,19.45,19.02,19.45,19.1,"17,383.76825251"
2018-07-06,19.08,18.25,19.25,18.7,"69,162.68443211"
2018-07-07,18.7,18.7,19.08,18.99,"17,288.74698836"
2018-07-08,18.99,18.63,18.99,18.98,"6,074.91144874"
2018-07-09,18.81,18.66,18.99,18.69,"4,750.16532507"
2018-07-10,18.69,18.41,19.13,18.96,"26,306.22297046"
2018-07-11,18.88,18.68,19.11,19.02,"33,324.4401906"
2018-07-12,19.02,18.74,19.12,19.02,"25,901.24868859"
2018-07-13,18.9,18.75,19.07,18.98,"7,098.29177915"
2018-07-14,18.98,18.83,18.99,18.83,"2,425.57005824"
2018-07-15,18.99,18.83,19.0,18.99,"2,944.85869387"
2018-07-16,18.92,18.72,19.04,18.76,"35,867.90408847"
2018-07-17,18.76,18.62,19.1,18.62,"61,679.64474561"
2018-07-18,18.63,18.41,18.8,18.54,"23,268.00313819"
2018-07-19,18.54,18.53,18.96,18.9,"33,425.05938716"
2018-07-20,18.66,18.57,19.05,18.81,"32,429.55085426"
